Time(s),Thrust(N)
0,0
0.03,316.45354
0.06,319.98051
0.09,323.46113
0.12,326.89546
0.15,330.28357
0.18,333.6255
0.21,336.92133
0.24,340.17109
0.27,343.37486
0.3,346.53268
0.33,349.64459
0.36,352.71065
0.39,355.73091
0.42,358.70541
0.45,361.6342
0.48,364.51732
0.51,367.35481
0.54,370.14671
0.57,372.89307
0.6,375.59392
0.63,378.24929
0.66,380.85924
0.69,383.42378
0.72,385.94295
0.75,388.4168
0.78,390.84534
0.81,393.22862
0.84,395.56666
0.87,397.85949
0.9,400.10715
0.93,402.30965
0.96,404.46703
0.99,406.57931
1.02,408.64652
1.05,410.66868
1.08,412.64582
1.11,414.57796
1.14,416.46512
1.17,418.30733
1.2,420.10461
1.23,421.85697
1.26,423.56444
1.29,425.22703
1.32,426.84477
1.35,428.41767
1.38,429.94576
1.41,431.42904
1.44,432.86753
1.47,434.26126
1.5,435.61022
1.53,436.91445
1.56,438.17395
1.59,439.38874
1.62,440.55882
1.65,441.68422
1.68,442.76494
1.71,443.801
1.74,444.7924
1.77,445.73916
1.8,446.64128
1.83,447.49878
1.86,448.31167
1.89,449.07994
1.92,449.80362
1.95,450.48271
1.98,451.11721
2.01,451.70713
2.04,452.25248
2.07,452.75326
2.1,453.20949
2.13,453.62115
2.16,453.98826
2.19,454.31083
2.22,454.58884
2.25,454.82232
2.28,455.01125
2.31,455.15565
2.34,455.2555
2.37,455.31083
2.4,455.32161
2.43,455.28787
2.46,455.20958
2.49,455.08677
2.52,454.91941
2.55,454.70752
2.58,454.45108
2.61,454.1501
2.64,453.80458
2.67,453.41451
2.7,452.97988
2.73,452.5007
2.76,451.97695
2.79,451.40864
2.82,450.79575
2.85,450.13829
2.88,449.43624
2.91,448.68959
2.94,447.89835
2.97,447.0625
3.0,446.18203
3.03,445.25694
3.06,444.28721
3.09,443.27284
3.12,442.21381
3.15,441.11012
3.18,439.96175
3.21,438.76869
3.24,437.53093
3.27,436.24845
3.3,434.92125
3.33,433.54931
3.36,432.1326
3.39,430.67113
3.42,429.16486
3.45,427.6138
3.48,426.01791
3.51,0.0
