mach,cd_off,cd_on
0.00000000000000E+0000,5.33716041911915E-0001,5.27859053459436E-0001 
1.00000000000000E-0002,4.25388283630165E-0001,4.18424379589691E-0001 
2.00000000000000E-0002,4.73663533460749E-0001,4.67682535760928E-0001 
3.00000000000000E-0002,4.58794609172353E-0001,4.52762159859459E-0001 
4.00000000000000E-0002,4.47996118212095E-0001,4.41914258900898E-0001 
5.00000000000000E-0002,4.39565712540277E-0001,4.33439199645132E-0001 
6.00000000000000E-0002,4.32677648698012E-0001,4.26510949440945E-0001 
7.00000000000000E-0002,4.26870660348683E-0001,4.20667570063958E-0001 
8.00000000000000E-0002,4.21861554284214E-0001,4.15625243605675E-0001 
9.00000000000000E-0002,4.19113293345959E-0001,4.12846418613972E-0001 
1.00000000000000E-0001,4.18010246101830E-0001,4.11728861261416E-0001 
1.10000000000000E-0001,4.18037321665344E-0001,4.11756005488812E-0001 
1.20000000000000E-0001,4.18057728736414E-0001,4.11776395389877E-0001 
1.30000000000000E-0001,4.18071742537722E-0001,4.11790307271294E-0001 
1.40000000000000E-0001,4.18079643736972E-0001,4.11798022863372E-0001 
1.50000000000000E-0001,4.18081718869736E-0001,4.11799829743436E-0001 
1.60000000000000E-0001,4.18078260789828E-0001,4.11796021786717E-0001 
1.70000000000000E-0001,4.18069569149250E-0001,4.11786899646807E-0001 
1.80000000000000E-0001,4.18055950909901E-0001,4.11772771267859E-0001 
1.90000000000000E-0001,4.18037720889384E-0001,4.11753952430866E-0001 
2.00000000000000E-0001,4.18015202343396E-0001,4.11730767336522E-0001 
2.10000000000000E-0001,4.17988727587396E-0001,4.11703549227324E-0001 
2.20000000000000E-0001,4.17958638660359E-0001,4.11672641051778E-0001 
2.30000000000000E-0001,4.17925288033703E-0001,4.11638396173732E-0001 
2.40000000000000E-0001,4.17889039368597E-0001,4.11601179130112E-0001 
2.50000000000000E-0001,4.17850268325152E-0001,4.11561366440494E-0001 
2.60000000000000E-0001,4.17986436497239E-0001,4.11696420542323E-0001 
2.70000000000000E-0001,4.18120714001985E-0001,4.11829512380776E-0001 
2.80000000000000E-0001,4.18253506117546E-0001,4.11961048046906E-0001 
2.90000000000000E-0001,4.18385234165618E-0001,4.12091449660505E-0001 
3.00000000000000E-0001,4.18516336637960E-0001,4.12221156496975E-0001 
3.10000000000000E-0001,4.18647270401106E-0001,4.12350626192371E-0001 
3.20000000000000E-0001,4.18778511984731E-0001,4.12480336032097E-0001 
3.30000000000000E-0001,4.18910558959487E-0001,4.12610784329061E-0001 
3.40000000000000E-0001,4.19043931410536E-0001,4.12742491897509E-0001 
3.50000000000000E-0001,4.19179173513377E-0001,4.12876003629158E-0001 
3.60000000000000E-0001,4.19316855219040E-0001,4.13011890178684E-0001 
3.70000000000000E-0001,4.19457574056175E-0001,4.13150749766085E-0001 
3.80000000000000E-0001,4.19601957058041E-0001,4.13293210103958E-0001 
3.90000000000000E-0001,4.19750662822958E-0001,4.13439930458211E-0001 
4.00000000000000E-0001,4.19904383717325E-0001,4.13591603851349E-0001 
4.10000000000000E-0001,4.20063848230930E-0001,4.13748959418033E-0001 
4.20000000000000E-0001,4.20229823494874E-0001,4.13912764923255E-0001 
4.30000000000000E-0001,4.20403117973169E-0001,4.14083829454181E-0001 
4.40000000000000E-0001,4.20584584339750E-0001,4.14263006297389E-0001 
4.50000000000000E-0001,4.20775122553420E-0001,4.14451196014051E-0001 
4.60000000000000E-0001,4.20975683144099E-0001,4.14649349726402E-0001 
4.70000000000000E-0001,4.21187270724574E-0001,4.14858472629710E-0001 
4.80000000000000E-0001,4.21410947742945E-0001,4.15079627744926E-0001 
4.90000000000000E-0001,4.21647838491887E-0001,4.15313939928161E-0001 
5.00000000000000E-0001,4.21899133391970E-0001,4.15562600154206E-0001 
5.10000000000000E-0001,4.22166093567388E-0001,4.15826870092449E-0001 
5.20000000000000E-0001,4.22450055733638E-0001,4.16108086994755E-0001 
5.30000000000000E-0001,4.22752437418006E-0001,4.16407668916131E-0001 
5.40000000000000E-0001,4.23074742535080E-0001,4.16727120290425E-0001 
5.50000000000000E-0001,4.23418567340963E-0001,4.17068037884714E-0001 
5.60000000000000E-0001,4.23785606791435E-0001,4.17432117157639E-0001 
5.70000000000000E-0001,4.24177661330981E-0001,4.17821159048600E-0001 
5.80000000000000E-0001,4.24596644141355E-0001,4.18237077226489E-0001 
5.90000000000000E-0001,4.25044588880290E-0001,4.18681905828551E-0001 
6.00000000000000E-0001,4.25523657942933E-0001,4.19157807721989E-0001 
6.10000000000000E-0001,4.25618650545391E-0001,4.19249582587647E-0001 
6.20000000000000E-0001,4.25750431757830E-0001,4.19378095953271E-0001 
6.30000000000000E-0001,4.25921622852661E-0001,4.19545969541832E-0001 
6.40000000000000E-0001,4.26135012490942E-0001,4.19755992458075E-0001 
6.50000000000000E-0001,4.26456816943624E-0001,4.20074381409898E-0001 
6.60000000000000E-0001,4.27352844064363E-0001,4.20966944681306E-0001 
6.70000000000000E-0001,4.28296923787590E-0001,4.21907512630608E-0001 
6.80000000000000E-0001,4.29283018888011E-0001,4.22890048450046E-0001 
6.90000000000000E-0001,4.30305665975114E-0001,4.23909089160430E-0001 
7.00000000000000E-0001,4.31359918543001E-0001,4.24959688661093E-0001 
7.10000000000000E-0001,4.32441296155784E-0001,4.26037366915405E-0001 
7.20000000000000E-0001,4.33545739046314E-0001,4.27138064549621E-0001 
7.30000000000000E-0001,4.34669567498800E-0001,4.28258102235616E-0001 
7.40000000000000E-0001,4.35809445465656E-0001,4.29394144307837E-0001 
7.50000000000000E-0001,4.36962347937776E-0001,4.30543166133699E-0001 
7.60000000000000E-0001,4.38125531646951E-0001,4.31702424816099E-0001 
7.70000000000000E-0001,4.39296508730624E-0001,4.32869432858281E-0001 
7.80000000000000E-0001,4.40473023033886E-0001,4.34041934465930E-0001 
7.90000000000000E-0001,4.41653028762420E-0001,4.35217884200220E-0001 
8.00000000000000E-0001,4.42834671233932E-0001,4.36395427729343E-0001 
8.10000000000000E-0001,4.44007320418418E-0001,4.37563935368864E-0001 
8.20000000000000E-0001,4.45160564552042E-0001,4.38712995695706E-0001 
8.30000000000000E-0001,4.46293136304034E-0001,4.39841341715124E-0001 
8.40000000000000E-0001,4.47403927635439E-0001,4.40947865719556E-0001 
8.50000000000000E-0001,4.48491977844035E-0001,4.42031607333620E-0001 
8.60000000000000E-0001,4.49929181448776E-0001,4.43426928450255E-0001 
8.70000000000000E-0001,4.52173541682475E-0001,4.45545641219636E-0001 
8.80000000000000E-0001,4.55224481145397E-0001,4.48387168242026E-0001 
8.90000000000000E-0001,4.59081531324739E-0001,4.51951041004625E-0001 
